ID;country;cont;capital;population
http://www.wikidata.org/entity/Q881;Vietnam;Asia;Hanoi;91700000
http://www.wikidata.org/entity/Q884;South Korea;Asia;Seoul;51069375
http://www.wikidata.org/entity/Q889;Afghanistan;Asia;Kabul;31822848
http://www.wikidata.org/entity/Q902;Bangladesh;Asia;Dhaka;156594962
http://www.wikidata.org/entity/Q912;Mali;Africa;Bamako;15301650
http://www.wikidata.org/entity/Q916;Angola;Africa;Luanda;21471618
http://www.wikidata.org/entity/Q917;Bhutan;Asia;Thimphu;753947
http://www.wikidata.org/entity/Q921;Brunei;Asia;Bandar Seri Begawan;417784
http://www.wikidata.org/entity/Q924;Tanzania;Africa;Dodoma;49253126
http://www.wikidata.org/entity/Q928;Philippines;Asia;Manila;100981437
http://www.wikidata.org/entity/Q929;Central African Republic;Africa;Bangui;4616417
http://www.wikidata.org/entity/Q945;Togo;Africa;Lomé;6816982
http://www.wikidata.org/entity/Q948;Tunisia;Africa;Tunis;11304500
http://www.wikidata.org/entity/Q953;Zambia;Africa;Lusaka;14309466
http://www.wikidata.org/entity/Q954;Zimbabwe;Africa;Harare;14149648
http://www.wikidata.org/entity/Q958;South Sudan;Africa;Juba;12340000
http://www.wikidata.org/entity/Q962;Benin;Africa;Porto-Novo;10323474
http://www.wikidata.org/entity/Q963;Botswana;Africa;Gaborone;2021144
http://www.wikidata.org/entity/Q965;Burkina Faso;Africa;Ouagadougou;16934839
http://www.wikidata.org/entity/Q967;Burundi;Africa;Bujumbura;10162532
http://www.wikidata.org/entity/Q9676;Isle of Man;Europe;Douglas;85888
http://www.wikidata.org/entity/Q970;Comoros;Africa;Moroni;734917
http://www.wikidata.org/entity/Q971;Republic of the Congo;Africa;Brazzaville;4447632
http://www.wikidata.org/entity/Q974;Democratic Republic of the Congo;Africa;Kinshasa;67513677
http://www.wikidata.org/entity/Q977;Djibouti;Africa;Djibouti;872932
http://www.wikidata.org/entity/Q983;Equatorial Guinea;Africa;Malabo;757014
http://www.wikidata.org/entity/Q986;Eritrea;Africa;Asmara;6333135
